STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EVAP,PRCP,TMAX,TMIN,WDMV
USC00404749,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/30/2013,8.6,0,23.3,15,85.1
USC00404750,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,10/31/2013,2.4,29.4,21.3,14.8,92.6
USC00404751,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/1/2013,16,0,20.8,8.2,76
USC00404752,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/2/2013,12.9,0,15.2,5.5,74.9
USC00404753,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/3/2013,16.1,0,15.9,2.1,71.6
USC00404754,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/4/2013,9.6,0,17,4.6,71.9
USC00404755,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/5/2013,12.1,0,18.5,7.8,70.8
USC00404756,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/6/2013,5.2,6.6,20.6,6.4,84.1
USC00404757,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/7/2013,15.6,0,12.9,2.6,66.4
USC00404758,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/8/2013,15.1,0,15.4,0.6,62.2
USC00404759,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/9/2013,7.4,0,13.2,3.2,71.7
USC00404760,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/10/2013,14.4,0,18.1,4.3,72.6
USC00404761,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/11/2013,13.7,0,19.5,1.2,67
USC00404762,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/12/2013,11.5,0.1,11,-2.8,60.9
USC00404763,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/13/2013,15.1,0,9.3,-5.4,60.8
USC00404764,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/14/2013,14.7,0,13.2,-4.2,59.2
USC00404765,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/15/2013,3.7,0.7,14.8,2.9,85.2
USC00404766,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/16/2013,3.4,1.2,20.9,6.7,91.2
USC00404767,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/17/2013,3.7,16.3,24.2,10.8,91.2
USC00404768,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/18/2013,14.1,0,16.6,3.8,71.6
USC00404769,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/19/2013,7.7,0,10,1,67.3
USC00404770,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/20/2013,12.8,0,15.3,-1.4,74.8
USC00404771,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/21/2013,10.6,5.8,19.1,6.5,85.1
USC00404772,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/22/2013,2.8,3.3,14.2,5.8,89.9
USC00404773,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/23/2013,7.7,0.1,7.2,-3.7,59
USC00404774,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/24/2013,12.2,0,3.4,-7.2,56.4
USC00404775,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/25/2013,3.4,4.2,3.6,-2.1,79.2
USC00404776,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/26/2013,2.1,5,4.2,-1.1,90.6
USC00404777,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/27/2013,13.5,0,0.4,-6.6,66.2
USC00404778,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/28/2013,12.8,0,5.7,-5.7,65.1
USC00404779,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/29/2013,12.6,0,11,-3,73.2
USC00404780,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,11/30/2013,11.5,0,13.1,-2.6,79.2
USC00404781,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/1/2013,5.5,0.1,12.1,1.6,86.8
USC00404782,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/2/2013,5.7,0.1,16.6,7.8,92.8
USC00404783,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/3/2013,4.3,0,17.6,6.9,94
USC00404784,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/4/2013,6.9,0.2,22,12.6,91.6
USC00404785,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/5/2013,2.1,17.5,18.3,1.1,86.5
USC00404786,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/6/2013,1.6,27.6,0.9,-4.8,92.8
USC00404787,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/7/2013,4.2,0.7,-1.6,-9.3,95.1
USC00404788,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/8/2013,3,9.8,0.7,-3,97.6
USC00404789,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/9/2013,4.1,1.4,1.3,-6.9,93.4
USC00404790,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/10/2013,12.3,0,1.9,-8.5,83.7
USC00404791,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/11/2013,11.9,0.2,4.8,-7,88.2
USC00404792,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/12/2013,12.5,0,3.7,-8.7,61.3
USC00404793,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/13/2013,5.6,11.4,4.9,-3.6,82
USC00404794,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/14/2013,4.4,10.7,7.8,-1,91.8
USC00404795,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/15/2013,4.2,0,4.3,-3.8,87.7
USC00404796,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/16/2013,11.2,0,12.6,-2.2,86.3
USC00404797,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/17/2013,11.6,0,11.9,-1.1,89.6
USC00404798,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/18/2013,11.8,0,11.7,-3,70.8
USC00404799,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/19/2013,6.4,0,14,1,86.8
USC00404800,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/20/2013,3,4.9,17.7,11.2,93.1
USC00404801,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/21/2013,3.2,31.7,21.2,17.7,92.8
USC00404802,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/22/2013,3.5,3.4,17.7,3.4,83.9
USC00404803,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/23/2013,6,0,3.9,-4.6,78.1
USC00404804,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/24/2013,12.4,0,0.4,-5.7,73.3
USC00404805,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/25/2013,12.1,0,7.4,-5.2,73.7
USC00404806,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/26/2013,12.1,0,7.2,-3.1,73.1
USC00404807,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/27/2013,11.8,0,11.5,-0.3,54.9
USC00404808,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/28/2013,2.7,6.8,6.4,0.5,85.7
USC00404809,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/29/2013,11,1.3,12.5,-0.1,85.7
USC00404810,"JACKSON EXPERIMENTAL STATION, TN US",35.6213,-88.8456,121.9,12/30/2013,3.6,0,2.1,-4.5,78.4
